stock_code,stock_name,keyword,title,content,published_at,source,url
002731.SZ,ST萃华,002731,ST萃华：可能被实施退市风险警示以及叠加其他风险警示,ST萃华002731.SZ)公告称，公司近日收到立信中联会计师事务所发来的《说明》，立信中联会计师事务所可能对公司2025年财务报表出具非标准意见的审计报告。,2026-04-17 19:37:54,财联社,http://finance.eastmoney.com/a/202604173709190087.html
600887.SH,伊利股份,600887,600887，大手笔分红！董事长发声,4月29日晚，伊利股份（600887）发布2025年年报，2025年公司实现营业总收入1159.31亿元，同比增长0.13%；归母净利润115.65亿元，同比增长36.82%，营收净利双增。 同日晚间，伊利股份发布2026年一季报。,2026-05-01 12:54:00,上海证券报,http://finance.eastmoney.com/a/202605013727208911.html
600887.SH,伊利股份,600887,伊利股份600887.SH)：2026年一季报净利润为53.95亿元,2026年4月30日，伊利股份600887.SH)发布2026年一季报。 公司营业总收入为348.25亿元。归母净利润为53.95亿元。经营活动现金净流入为37.15亿元。 公司最新资产负债率为59.50%，在已披露的同业公司中排名第25。,2026-04-30 10:06:42,界面新闻,http://finance.eastmoney.com/a/202604303726092243.html
600887.SH,伊利股份,600887,伊利股份600887.SH)：2025年年报净利润为115.65亿元,2026年4月30日，伊利股份600887.SH)发布2025年年报。 公司营业总收入为1159.31亿元。归母净利润为115.65亿元。经营活动现金净流入为143.44亿元，较去年同报告期经营活动现金净流入减少73.96亿元，同比较去年同期下降34.02%。,2026-04-30 10:43:25,界面新闻,http://finance.eastmoney.com/a/202604303726145821.html
600887.SH,伊利股份,600887,伊利股份拟每股派发现金红利0.9元,4月29日，伊利股份（600887）发布公告，公司拟向全体股东每股派发现金红利0.9元（含税），预计总派发金额为56.93亿元，加之已实施现金分红30.36亿元，本年度现金分红总额为87.29亿元，占归母净利润的75.48%。,2026-04-30 09:45:00,财中社,http://finance.eastmoney.com/a/202604303726046067.html
600887.SH,伊利股份,600887,伊利股份：第一季度净利润同比增长10.68%,伊利股份600887.SH)公告称，2026年第一季度实现营业收入347.41亿元，同比增长5.47%；归属于上市公司股东的净利润为53.95亿元，同比增长10.68%。,2026-04-29 18:12:17,财联社,http://finance.eastmoney.com/a/202604293724683316.html
600887.SH,伊利股份,600887,伊利股份：一季度净利润53.95亿元 同比增长10.68%,人民财讯4月29日电，伊利股份6008874月29日披露一季报，公司2026年一季度实现营业收入347.41亿元，同比增长5.47%；净利润53.95亿元，同比增长10.68%。,2026-04-29 18:19:00,证券时报网,http://finance.eastmoney.com/a/202604293724689433.html
600887.SH,伊利股份,600887,伊利股份一季度归母净利润53.9亿元，同比上升10.7%,4月29日，伊利股份600887公布2026年一季报，公司营业收入为347.4亿元，同比上升5.5%；归母净利润为53.9亿元，同比上升10.7%；扣非归母净利润为53.3亿元，同比上升15.1%；经营现金流净额为37.35亿元，同比增长293.9%；EPS(全面摊薄)为0.8529,2026-04-30 10:15:00,财中社,http://finance.eastmoney.com/a/202604303726108388.html
600887.SH,伊利股份,600887,伊利股份2025年归母净利润率10%创历史新高 圆满完成9%-10%目标｜快讯,4月30日，在伊利股份（600887.SH）2025年度暨2026年第一季度业绩说明会上，伊利集团董事长潘刚表示：“2026年，收入端力争实现更好的成绩；净利率在2025年高基数的基础上呈现继续向好趋势，并在新战略周期里再上一个新台阶。”,2026-04-30 09:57:00,华夏时报网,http://finance.eastmoney.com/a/202604303726072241.html
600887.SH,伊利股份,600887,乳业“一超”断层式领先 2025年伊利股份营收、净利超预期双增,4月29日，伊利股份（600887.SH）发布2025年年报，公司实现营业总收入1159.31亿元，同比增长0.13%；归母净利润115.65亿元，同比增长36.82%，公司以前瞻性均衡业务结构布局，重塑乳业增长逻辑，成为唯一实现营收净利双增的综合性乳企，中国乳业“一超”断层式领先格局再次深化,2026-04-29 21:22:12,经济参考网,http://finance.eastmoney.com/a/202604293724976998.html
600887.SH,伊利股份,600887,乳业“一超”断层式领先 2025年伊利股份营收、净利超预期双增｜快讯,4月29日，伊利股份（600887.SH）发布2025年年报，实现营业总收入1159.31亿元，同比增长0.13%；归母净利润115.65亿元，同比增长36.82%，以前瞻性均衡业务结构布局，重塑乳业增长逻辑，成为唯一实现营收净利双增的综合性乳企，中国乳业一超断层式领先格局再次深化,2026-04-29 20:21:47,华夏时报网,http://finance.eastmoney.com/a/202604293724887277.html
002640.SZ,跨境通,002640,跨境通002640.SZ)：2026年一季报净利润为1.57亿元,2026年4月30日，跨境通002640.SZ)发布2026年一季报。 公司营业总收入为12.90亿元。归母净利润为1.57亿元。,2026-04-30 09:04:41,界面新闻,http://finance.eastmoney.com/a/202604303725779042.html
002640.SZ,跨境通,002640,跨境通002640.SZ)：2026年一季报净利润为1.57亿元，同比扭亏为盈,2026年4月30日，跨境通002640.SZ)发布2026年一季报。 公司营业总收入为12.90亿元，在已披露的同业公司中排名第6，较去年同报告期营业总收入增加3641.97万元，同比较去年同期上涨2.91%。,2026-04-30 09:04:55,界面新闻,http://finance.eastmoney.com/a/202604303725779936.html
002640.SZ,跨境通,002640,跨境通：一季度净利润1.57亿元 同比扭亏为盈,人民财讯4月29日电，跨境通0026404月29日披露一季报，公司2026年一季度实现营业收入12.9亿元，同比增长2.91%；归母净利润1.57亿元，同比扭亏为盈。,2026-04-29 17:03:00,证券时报网,http://finance.eastmoney.com/a/202604293724562939.html
002640.SZ,跨境通,002640,跨境通一季度扭亏为盈，实现归母净利润1.57亿元,4月29日，跨境通002640公布2026年一季报，公司营业收入为12.9亿元，同比上升2.9%；归母净利润自去年同期亏损389万元成功扭亏，实现归母净利润1.57亿元；扣非归母净利润自去年同期亏损369万元变为亏损370万元，亏损额进一步扩大；经营现金流净额为-4.85亿元，,2026-04-30 07:52:00,财中社,http://finance.eastmoney.com/a/202604303725542457.html
002640.SZ,跨境通,002640,135家公司公布最新股东户数,0.62 传媒 002955 鸿合科技 17139 -1.36 -2.78 电子 002941 新疆交建 74513 -1.32 3.26 建筑装饰 000868 安凯客车 45962 -1.26 -3.36 汽车 002807 江阴银行 46115 -1.14 3.30 银行 002640,2026-04-21 16:48:00,证券时报网,http://finance.eastmoney.com/a/202604213712355776.html
002640.SZ,跨境通,002640,商贸零售行业资金流出榜：永辉超市等7股净流出资金超3000万元,5.08 -5614.31 600693 东百集团 -2.50 12.90 -4576.53 002315 焦点科技 -1.05 4.57 -3636.33 603123 翠微股份 -4.95 5.96 -3206.40 600539 狮头股份 -2.41 7.94 -3029.78 002640,2026-04-21 16:47:00,证券时报网,http://finance.eastmoney.com/a/202604213712343329.html
002640.SZ,跨境通,002640,股东户数降幅榜：11股最新股东户数降逾一成,汽车 300640 德艺文创 18173 -1.24 -2.53 轻工制造 600359 新农开发 40138 -1.19 -1.12 农林牧渔 301062 上海艾录 13561 -1.15 -1.20 轻工制造 002807 江阴银行 46115 -1.14 4.18 银行 002640,2026-04-22 17:43:00,证券时报网,http://finance.eastmoney.com/a/202604223714184083.html
002640.SZ,跨境通,002640,商贸零售行业今日跌2.26%，主力资金净流出9.67亿元,0.90 -8098.71 000564 供销大集 -2.60 1.39 -6713.79 600250 南京商旅 -3.33 13.58 -4445.57 002183 怡亚通 -1.88 4.32 -4084.25 002251 步步高 -3.04 2.03 -3589.66 002640,2026-04-09 16:44:00,证券时报网,http://finance.eastmoney.com/a/202604093699638359.html
002640.SZ,跨境通,002640,A股三大股指收跌：算力硬件产业链逆势走强，两市成交2.1万亿元,商贸零售低开低走，小商品城（600415）、跨境通（002640）、翠微股份（603123）、凯淳股份（301001）、东方创业（600278）、友阿股份（002277）、茂业商业（600828）等跌超3%。,2026-04-09 15:11:00,澎湃新闻,http://finance.eastmoney.com/a/202604093699517536.html
002640.SZ,跨境通,002640,跨境通：2025年亏损4.17亿元,跨境通0026403月30日披露年报，2025年实现营业收入54.37亿元，同比下降4.93%；归母净利润-4.17亿元；基本每股收益-0.2713元。报告期内，优壹电商实现营业收入50.89亿元，净利润1.06亿元。,2026-03-30 18:59:00,人民财讯,http://finance.eastmoney.com/a/202603303688910235.html
000546.SZ,金圆股份,000546,金圆股份000546.SZ)：2026年一季报净利润为-5812.29万元，同比由盈转亏,2026年4月30日，金圆股份000546.SZ)发布2026年一季报。 公司营业总收入为36.35亿元。归母净利润为-5812.29万元，在已披露的同业公司中排名第107，较去年同报告期归母净利润减少7429.16万元，同比较去年同期下降459.48%。,2026-04-30 18:50:31,界面新闻,http://finance.eastmoney.com/a/202604303726619949.html
000546.SZ,金圆股份,000546,机构风向标 | 金圆股份0005462025年四季度已披露持仓机构仅6家,2026年4月28日，金圆股份000546.SZ)发布2025年年度报告。截至2026年4月28日，共有6个机构投资者披露持有金圆股份A股股份，合计持股量达2.42亿股，占金圆股份总股本的31.15%。,2026-04-29 09:43:35,界面新闻,http://finance.eastmoney.com/a/202604293723927093.html
000546.SZ,金圆股份,000546,金圆股份000546.SZ)2025年净利润为-2.52亿元，由盈转亏,2026年4月28日，金圆股份000546.SZ)发布2025年年报。 公司营业总收入为94.29亿元。归母净利润为-2.52亿元，在已披露的同业公司中排名第78，较去年同报告期归母净利润减少2.91亿元，同比较去年同期下降733.94%。,2026-04-28 10:45:27,界面新闻,http://finance.eastmoney.com/a/202604283721847268.html
000546.SZ,金圆股份,000546,赔本赚吆喝！营收和成本均翻倍增长，金圆股份一季度亏了5000多万元,4月29日晚间，金圆股份000546发布2026年一季报，一季度实现营业收入36.35亿元，同比增长108.59%；归属于上市公司股东的净利润-5812.29万元，上年同期为1616.87万元；归属于上市公司股东的扣除非经常性损益的净利润-6172.65万元，上年同期为-2883.51,2026-04-30 13:39:26,深圳商报·读创,http://finance.eastmoney.com/a/202604303726297312.html
000546.SZ,金圆股份,000546,21.28亿主力资金净流入，金属镍概念涨3.47%,600711 盛屯矿业 3.96 3.56 5987.41 3.98 000060 中金岭南 4.07 2.61 5751.75 7.57 002125 湘潭电化 6.07 5.89 4823.90 8.83 002266 浙富控股 5.88 6.34 4253.88 2.82 000546,2026-04-29 18:19:00,证券时报网,http://finance.eastmoney.com/a/202604293725156375.html
000546.SZ,金圆股份,000546,53只A股筹码大换手（4月27日）,矽电股份 343.09 24.08 8.40 301077 星华新材 35.04 23.67 -9.20 300970 华绿生物 37.53 23.28 -11.86 300613 富瀚微 63.88 23.06 13.91 301696 三瑞智能 94.92 23.02 2.02 000546,2026-04-27 16:21:00,证券时报网,http://finance.eastmoney.com/a/202604273720137947.html
000546.SZ,金圆股份,000546,盐湖提锂概念涨3.65%，主力资金净流入33股,601168 西部矿业 6.16 3.44 14370.23 5.85 000762 西藏矿业 5.91 10.70 11467.31 5.42 000408 藏格矿业 2.57 0.87 8177.78 6.66 600773 西藏城投 3.42 5.28 7433.99 5.33 000546,2026-04-29 18:18:00,证券时报网,http://finance.eastmoney.com/a/202604293724712350.html
000546.SZ,金圆股份,000546,今日563只个股突破五日均线,14.55 85.67 91.00 6.22 300057 万顺新材 10.03 23.64 7.44 7.90 6.18 301307 美利信 10.92 19.85 43.69 46.33 6.04 603819 神力股份 9.99 6.66 14.46 15.31 5.89 000546,2026-04-24 16:04:00,证券时报网,http://finance.eastmoney.com/a/202604243717971580.html
000546.SZ,金圆股份,000546,今日盘中突破五日均线个股一览,21.18 354.16 378.95 7.00 600370 三房巷 10.00 3.61 2.48 2.64 6.45 603520 司太立 10.02 11.48 10.94 11.64 6.42 603819 神力股份 9.99 6.46 14.46 15.31 5.89 000546,2026-04-24 14:22:00,证券时报网,http://finance.eastmoney.com/a/202604243717881569.html
000546.SZ,金圆股份,000546,金属铜概念上涨3.44%，15股主力资金净流入超亿元,600331 宏达股份 6.13 4.16 4446.72 2.91 002266 浙富控股 5.88 6.34 4253.88 2.82 601969 海南矿业 7.36 2.74 3912.00 5.93 000960 锡业股份 3.24 3.70 3861.48 1.78 000546,2026-04-29 18:19:00,证券时报网,http://finance.eastmoney.com/a/202604293725155721.html
603993.SH,洛阳钼业,603993,洛阳钼业603993.SH)：2026年一季报净利润为77.60亿元,2026年4月25日，洛阳钼业603993.SH)发布2026年一季报。 公司营业总收入为664.03亿元。归母净利润为77.60亿元。经营活动现金净流入为113.29亿元。,2026-04-25 11:17:32,界面新闻,http://finance.eastmoney.com/a/202604253718989025.html
603993.SH,洛阳钼业,603993,金属钴概念上涨4.94%，11股主力资金净流入超亿元,002340 格林美 7.95 9.67 41732.05 9.11 300073 当升科技 5.13 7.26 28590.62 12.12 000426 兴业银锡 3.96 2.82 27809.91 12.98 600549 厦门钨业 8.19 5.62 17892.37 3.55 603993,2026-04-29 18:19:00,证券时报网,http://finance.eastmoney.com/a/202604293724709669.html
603993.SH,洛阳钼业,603993,洛阳钼业：一季度净利润同比增长96.65% 主要产品价格上涨及产销量实现增长,洛阳钼业603993.SH)公告称，2026年第一季度实现营业收入664.03亿元，同比增长44.34%；归属于上市公司股东的净利润为77.60亿元，同比增长96.65%。,2026-04-24 16:15:41,财联社,http://finance.eastmoney.com/a/202604243717967060.html
603993.SH,洛阳钼业,603993,21.28亿主力资金净流入，金属镍概念涨3.47%,603799 华友钴业 4.48 5.83 52199.63 7.17 002340 格林美 7.95 9.67 41732.05 9.11 600884 杉杉股份 7.23 11.43 31960.16 9.31 000426 兴业银锡 3.96 2.82 27809.91 12.98 603993,2026-04-29 18:19:00,证券时报网,http://finance.eastmoney.com/a/202604293725156375.html
603993.SH,洛阳钼业,603993,洛阳钼业一季度利润超77亿元 同比增长96.65%,4月24日晚间，洛阳钼业（603993.SH、03993.HK）发布2026年第一季度业绩报告。财报数据显示，洛阳钼业实现营业收入664.03亿元，同比增长44.34%；归母净利润77.60亿元，同比增长96.65%；经营性净现金流113.29亿元，同比增长762.30%。,2026-04-25 09:37:20,中国经营报,http://finance.eastmoney.com/a/202604253718886030.html
603993.SH,洛阳钼业,603993,盐湖提锂概念涨3.65%，主力资金净流入33股,华友钴业 4.48 5.83 52199.63 7.17 600338 西藏珠峰 10.00 14.96 37507.82 10.30 000792 盐湖股份 6.70 2.94 27914.58 4.66 300207 欣旺达 4.91 5.13 19073.99 7.96 603993,2026-04-29 18:18:00,证券时报网,http://finance.eastmoney.com/a/202604293724712350.html
603993.SH,洛阳钼业,603993,有色金属行业4月29日资金流向日报,21.21 36272.72 000426 兴业银锡 3.96 2.82 27809.91 300748 金力永磁 8.10 5.80 23677.66 600362 江西铜业 4.74 2.61 21534.63 600549 厦门钨业 8.19 5.62 17892.37 603993,2026-04-29 18:19:00,证券时报网,http://finance.eastmoney.com/a/202604293725153313.html
603993.SH,洛阳钼业,603993,洛阳钼业：Q1归母净利润为77.6亿元，同比上升96.7%,4月24日，洛阳钼业603993公布2026年一季报，公司营业收入为664.03亿元，同比上升44.3%；归母净利润为77.6亿元，同比上升96.7%；扣非归母净利润为74.86亿元，同比上升90.6%；经营现金流净额为113.29亿元，同比增长762.3%；EPS(全面摊薄),2026-04-24 16:48:00,财中社,http://finance.eastmoney.com/a/202604243718042620.html
603993.SH,洛阳钼业,603993,磷化工概念涨3.45%，主力资金净流入32股,华友钴业 4.48 5.83 52199.63 7.17 002759 天际股份 5.91 15.72 24478.80 8.80 600096 云天化 2.89 4.01 22057.72 8.33 603906 龙蟠科技 10.00 11.06 20289.56 10.34 603993,2026-04-29 18:19:00,证券时报网,http://finance.eastmoney.com/a/202604293725154477.html
603993.SH,洛阳钼业,603993,有色金属行业今日净流出资金89.78亿元，云南锗业等29股净流出资金超亿元,50646.74 000960 锡业股份 -8.54 5.49 -49928.24 600219 南山铝业 -9.73 4.35 -44109.75 601899 紫金矿业 -1.82 1.00 -43565.99 002466 天齐锂业 -1.52 5.21 -41014.04 603993,2026-04-28 17:20:00,证券时报网,http://finance.eastmoney.com/a/202604283722385680.html
603618.SH,杭电股份,603618,杭电股份603618龙虎榜数据04-23,交易所2026年4月23日公布的交易公开信息显示，杭电股份因成为非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券上榜。杭电股份当日收报31.41元，涨跌幅10.02%，换手率14.80%，成交额31.76亿。异常期间4月22日至4月23日，期间涨幅21.04%,2026-04-23 16:57:07,东方财富Choice数据,http://finance.eastmoney.com/a/202604233716064639.html
603618.SH,杭电股份,603618,杭电股份603618.SH)：2026年一季报净利润为8084.19万元,2026年4月22日，杭电股份603618.SH)发布2026年一季报。 公司营业总收入为22.02亿元。归母净利润为8084.19万元。经营活动现金净流入为-2.78亿元，较去年同报告期经营活动现金净流入减少7958.56万元。,2026-04-22 09:18:17,界面新闻,http://finance.eastmoney.com/a/202604223713520069.html
603618.SH,杭电股份,603618,杭电股份603618.SH)2025年净利润为-2.99亿元，由盈转亏,2026年4月22日，杭电股份603618.SH)发布2025年年报。 公司营业总收入为94.51亿元。归母净利润为-2.99亿元，在已披露的同业公司中排名第70，较去年同报告期归母净利润减少4.37亿元，同比较去年同期下降316.64%。,2026-04-22 14:55:46,界面新闻,http://finance.eastmoney.com/a/202604223713937885.html
