股票代码,股票简称,最新价,最新涨跌幅,个股热度[20260501],个股热度排名[20260501],market_code,code
002730.SZ,电光科技,33.66,5.94900849858356,22667.5,130,33,002730
002560.SZ,通达股份,14.67,-5.7803468208092506,22537.0,131,33,002560
000592.SZ,平潭发展,10.76,1.127819548872173,22202.5,132,33,000592
601106.SH,中国一重,4.54,9.927360774818405,22032.0,133,17,601106
000567.SZ,海德股份,6.67,10.06600660066007,21987.5,134,33,000567
300750.SZ,宁德时代,436.0,-2.0224719101123596,21785.0,135,33,300750
603937.SH,丽岛新材,15.25,10.028860028860034,21653.0,136,17,603937
603876.SH,鼎胜新材,29.76,4.2016806722689175,21639.5,137,17,603876
300502.SZ,新易盛,525.79,-2.0875232774674184,21592.5,138,33,300502
301396.SZ,宏景科技,316.74,-3.270728355474112,21457.5,139,33,301396
002415.SZ,海康威视,36.29,4.251651824188443,21399.0,140,33,002415
002685.SZ,华东重机,9.15,9.975961538461538,21394.5,141,33,002685
600338.SH,西藏珠峰,27.58,-0.10865628395509286,21128.0,142,17,600338
603773.SH,沃格光电,69.35,-0.5592199598508756,21113.0,143,17,603773
600208.SH,衢州发展,4.55,9.903381642512082,21007.0,144,17,600208
002378.SZ,章源钨业,33.86,2.855407047387599,20979.5,145,33,002378
688041.SH,海光信息,296.25,6.270402123614456,20976.0,146,17,688041
002310.SZ,东方新能,3.06,-4.075235109717865,20698.5,147,33,002310
000657.SZ,中钨高新,58.19,1.5355086372360764,20591.0,148,33,000657
603131.SH,上海沪工,22.52,10.014655593551542,20517.0,149,17,603131
603698.SH,航天工程,43.97,10.007505629221917,20397.5,150,17,603698
601179.SH,中国西电,16.92,-1.3411078717200986,20304.0,151,17,601179
002235.SZ,安妮股份,11.2,10.019646365422393,20301.0,152,33,002235
600736.SH,苏州高新,8.15,-2.9761904761904763,20122.0,153,17,600736
002261.SZ,拓维信息,35.44,1.5181896304783764,20023.0,154,33,002261
600666.SH,奥瑞德,5.24,-5.585585585585579,19940.5,155,17,600666
601012.SH,隆基绿能,16.46,-0.5438066465256789,19852.5,156,17,601012
600400.SH,红豆股份,2.76,9.9601593625498,19800.5,157,17,600400
002929.SZ,润建股份,59.68,10.009216589861751,19563.0,158,33,002929
603083.SH,剑桥科技,174.97,2.4954601370745655,19488.5,159,17,603083
000889.SZ,中嘉博创,4.42,-8.108108108108103,19471.5,160,33,000889
300762.SZ,上海瀚讯,43.42,13.81389252948887,19426.0,161,33,300762
000977.SZ,浪潮信息,69.75,-3.5002767017155523,19115.0,162,33,000977
603738.SH,泰晶科技,38.32,-3.7669512807634353,18907.0,163,17,603738
000815.SZ,美利云,19.02,-4.229607250755286,18835.5,164,33,000815
000539.SZ,粤电力A,6.53,-6.71428571428571,18818.5,165,33,000539
603501.SH,豪威集团,98.3,-3.238507727138504,18728.5,166,17,603501
002491.SZ,通鼎互联,15.8,-4.646952323476159,18637.0,167,33,002491
002413.SZ,雷科防务,13.14,3.139717425431714,18415.0,168,33,002413
002837.SZ,英维克,94.6,0.1058201058200998,18395.5,169,33,002837
002354.SZ,天娱数科,6.2,4.201680672268908,18274.0,170,33,002354
300476.SZ,胜宏科技,328.49,-1.6114056369245502,18260.5,171,33,300476
301308.SZ,江波龙,401.12,-3.1812696113927124,18041.0,172,33,301308
600734.SH,*ST实达,2.23,-5.106382978723409,17893.5,173,22,600734
605099.SH,共创草坪,48.42,9.995456610631528,17892.5,174,17,605099
603195.SH,公牛集团,44.85,8.490566037735842,17887.0,175,17,603195
603026.SH,石大胜华,114.92,-3.6310272536687616,17860.5,176,17,603026
600156.SH,华升股份,10.8,-3.3124440465532605,17847.5,177,17,600156
001330.SZ,博纳影业,8.27,2.7329192546583707,17812.0,178,33,001330
002731.SZ,ST萃华,4.35,-5.0218340611353804,17801.0,179,33,002731
600887.SH,伊利股份,27.46,3.3496424538953726,17799.5,180,17,600887
600744.SH,华银电力,8.54,-4.15263748597083,17727.5,181,17,600744
603259.SH,药明康德,109.55,-1.466091023565398,17665.0,182,17,603259
688699.SH,明微电子,55.43,20.004329941545794,17658.0,183,17,688699
300885.SZ,海昌新材,28.64,19.98324256388772,17581.0,184,33,300885
000628.SZ,高新发展,66.18,10.00664893617023,17546.0,185,33,000628
600545.SH,卓郎智能,4.89,-9.94475138121547,17522.0,186,17,600545
002640.SZ,跨境通,3.65,9.939759036144581,17138.5,187,33,002640
603993.SH,洛阳钼业,18.62,-2.9702970297029716,17108.5,188,17,603993
000546.SZ,金圆股份,7.72,4.748982360922654,17015.0,189,33,000546
688498.SH,源杰科技,1571.0,3.6963696369636962,16983.0,190,17,688498
002082.SZ,万邦德,,,16841.0,191,33,002082
002636.SZ,金安国纪,44.9,-0.970445522717258,16824.5,192,33,002636
603045.SH,福达合金,46.68,9.990574929311975,16793.5,193,17,603045
002602.SZ,世纪华通,16.01,-8.930602957906693,16779.5,194,33,002602
600460.SH,士兰微,28.9,3.8074712643678117,16657.0,195,17,600460
603618.SH,杭电股份,28.26,-4.105870376654216,16598.0,196,17,603618
603375.SH,盛景微,45.25,9.990277102576567,16473.0,197,17,603375
688400.SH,凌云光,59.32,20.008092251669026,16390.0,198,17,688400
600986.SH,浙文互联,9.99,-6.896551724137933,16363.5,199,17,600986
601698.SH,中国卫通,36.67,2.976691940466168,16359.5,200,17,601698
